run_accession	sample_title	fastq_https	custom_name
#N/A	immunoprecipitate, G1, Hmo1, strain 7750	https://www.dropbox.com/scl/fi/if48975ibpfo7om2oy9yv/7750_G1_lP_S33_R1_001.fastq.gz?rlkey=skp86ikgrt3uypa453mz86t37&st=om5g1ijw&dl=1;https://www.dropbox.com/scl/fi/ipx6qtalc7jhflu8qpwmq/7750_G1_lP_S33_R2_001.fastq.gz?rlkey=sdkj0qv36u2lqv3xak9lfxyfy&st=upx83ug9&dl=1	IP_WT_G1_Hmo1_7750
#N/A	input, G2/M, Hmo1, strain 7750	https://www.dropbox.com/scl/fi/5kjfyepgoditkvhp53x4y/7750_G2M_in_S23_R1_001.fastq.gz?rlkey=kfce3eemti9k4gh137fjun44l&st=0mt40ecp&dl=1;https://www.dropbox.com/scl/fi/eyhj5pumfo1j7u8v4ecfg/7750_G2M_in_S23_R2_001.fastq.gz?rlkey=hpe86ulfo0l455f65azjhjn3y&st=ixb04zsg&dl=1	in_WT_G2M_Hmo1_7750
#N/A	immunoprecipitate, G2/M, Hmo1, strain 7750	https://www.dropbox.com/scl/fi/yazt85wqq7dnjju075pz8/7750_G2M_lP_S35_R1_001.fastq.gz?rlkey=melwvs4yijqx1fgimxxqd15df&st=jgsuluna&dl=1;https://www.dropbox.com/scl/fi/i9msjx7wivmwr4pokd1t3/7750_G2M_lP_S35_R2_001.fastq.gz?rlkey=10eaki7vlzss1slgn0qq6d65n&st=p2vfp56e&dl=1	IP_WT_G2M_Hmo1_7750
#N/A	input, quiescence, Hmo1, strain 7750	https://www.dropbox.com/scl/fi/pafc8pbv782tkvb0b7qaq/7750_Q_ln_S25_R1_001.fastq.gz?rlkey=dji28fpki92p2u6vlufyvo08e&st=kh2qbiem&dl=1;https://www.dropbox.com/scl/fi/cqjchqe89nbxjfbcvt3fc/7750_Q_ln_S25_R2_001.fastq.gz?rlkey=f64aqldaz0s76gpy7ej8fsw9v&st=wbaaf7ws&dl=1	in_WT_Q_Hmo1_7750
#N/A	immunoprecipitate, quiescence, Hmo1, strain 7750	https://www.dropbox.com/scl/fi/y2dteeideyl93dmw8aowc/7750_Q_lP_S37_R1_001.fastq.gz?rlkey=85f04owkjiboqm42qlgiuse19&st=x3ubwrz9&dl=1;https://www.dropbox.com/scl/fi/x5ykmcstx25a9xtetsopv/7750_Q_lP_S37_R2_001.fastq.gz?rlkey=hkgbjdrx69dxxnbwclj3ksjul&st=rzklqewk&dl=1	IP_WT_Q_Hmo1_7750
#N/A	input, G1, Hmo1, strain 7751	https://www.dropbox.com/scl/fi/fspi0ma2o2ootloc9hzhm/7751_G1_in_S22_R1_001.fastq.gz?rlkey=1p3ust9w3rsychv5np2buscr4&st=14t0hhxd&dl=1;https://www.dropbox.com/scl/fi/e8wdybzkxvtmdrt9wto14/7751_G1_in_S22_R2_001.fastq.gz?rlkey=xhfy5eydbp6wghu90owo9dhsq&st=uzg50gxw&dl=1	in_WT_G1_Hmo1_7751
#N/A	immunoprecipitate, G1, Hmo1, strain 7751	https://www.dropbox.com/scl/fi/vyf4fq0dek2bqwwl0ksmc/7751_G1_lP_S34_R1_001.fastq.gz?rlkey=b38wcncv9g6ytnuvrb2oq4pe0&st=aj79ql44&dl=1;https://www.dropbox.com/scl/fi/hwoj3zf5rzdqcsv3e7xxu/7751_G1_lP_S34_R2_001.fastq.gz?rlkey=926iiwq0svyqgovvecjr9w3l4&st=m05nf6u2&dl=1	IP_WT_G1_Hmo1_7751
#N/A	input, G2/M, Hmo1, strain 7751	https://www.dropbox.com/scl/fi/0i06ji87azta94tvwjdcq/7751_G2M_in_S24_R1_001.fastq.gz?rlkey=0vfz5u5356nx812xh7u6kt14k&st=lsgk4x61&dl=1;https://www.dropbox.com/scl/fi/igosfndeg8fo6swgr4hkn/7751_G2M_in_S24_R2_001.fastq.gz?rlkey=qfazxayp1onptzcf17r1m0b3t&st=yicjnsrw&dl=1	in_WT_G2M_Hmo1_7751
#N/A	immunoprecipitate, G2/M, Hmo1, strain 7751	https://www.dropbox.com/scl/fi/iur1rsgax5jlgyqfasl8m/7751_G2M_lP_S36_R1_001.fastq.gz?rlkey=mw3gfavud4eqmd7ptaatlsyi0&st=s697xp4k&dl=1;https://www.dropbox.com/scl/fi/2i29m0gsevn96c409xo7y/7751_G2M_lP_S36_R2_001.fastq.gz?rlkey=hl684fyurmt8sr1l3e5zpuc89&st=dg6vc5sw&dl=1	IP_WT_G2M_Hmo1_7751
#N/A	input, quiescence, Hmo1, strain 7751	https://www.dropbox.com/scl/fi/ablyhj8u3u7rftcvli0yk/7751_Q_ln_S26_R1_001.fastq.gz?rlkey=inv8mkjqguid1wzn9qn3miznl&st=64zxoub4&dl=1;https://www.dropbox.com/scl/fi/ow9cw6ezkninycjdune8u/7751_Q_ln_S26_R2_001.fastq.gz?rlkey=xrqjbedrnzf70xebcuj0jvzou&st=wzw2u7rw&dl=1	in_WT_Q_Hmo1_7751
#N/A	immunoprecipitate, quiescence, Hmo1, strain 7751	https://www.dropbox.com/scl/fi/maz3renybtdy0dyrjeij7/7751_Q_lP_S38_R1_001.fastq.gz?rlkey=ydhjk219sma1j4g2sj4qi0nup&st=ao73ea6u&dl=1;https://www.dropbox.com/scl/fi/9wgbhx5mxou598aht531j/7751_Q_lP_S38_R2_001.fastq.gz?rlkey=bxnhsz9tz409evo1mui5ju15e&st=dkx5cl7n&dl=1	IP_WT_Q_Hmo1_7751
